4268,52,26.0,194,91902,2,5.7,2.0,0,1.0,0.0,0.0,1.0,0.0
1653,48,18.0,182,92626,4,6.0,3.0,0,1.0,0.0,0.0,1.0,0.0
1487,35,9.0,141,93022,2,4.5,2.0,0,1.0,0.0,0.0,0.0,0.0
300,41,15.0,159,90057,1,5.5,3.0,0,1.0,0.0,1.0,1.0,0.0
3404,54,29.0,82,94709,3,3.7,2.0,0,1.0,0.0,0.0,1.0,0.0
3891,42,17.0,139,91101,2,2.9,3.0,0,1.0,0.0,0.0,1.0,0.0
2318,31,5.0,129,95814,3,5.9,3.0,319,1.0,1.0,1.0,0.0,1.0
3450,57,32.0,135,90095,3,4.8,2.0,0,1.0,1.0,1.0,1.0,0.0
703,35,9.0,109,92709,3,4.0,1.0,0,1.0,0.0,0.0,0.0,0.0
2137,50,26.0,115,95008,1,1.2,3.0,0,1.0,0.0,0.0,0.0,1.0
3920,64,34.0,179,90024,2,4.5,3.0,400,1.0,0.0,0.0,0.0,0.0
3960,43,19.0,123,91107,3,1.3,1.0,0,1.0,0.0,0.0,1.0,0.0
2305,27,2.0,170,95818,3,4.7,1.0,0,1.0,0.0,0.0,1.0,0.0
538,44,20.0,131,90717,1,4.9,3.0,0,1.0,0.0,0.0,1.0,0.0
783,54,30.0,194,92056,3,6.0,3.0,587,1.0,1.0,1.0,1.0,1.0
2456,34,8.0,164,94720,4,7.4,3.0,0,1.0,0.0,0.0,1.0,0.0
3055,45,21.0,134,92697,4,5.5,2.0,0,1.0,0.0,1.0,1.0,1.0
1633,31,5.0,93,95032,2,3.1,2.0,0,1.0,0.0,0.0,1.0,0.0
1999,56,32.0,103,94111,3,4.0,3.0,0,1.0,0.0,0.0,0.0,0.0
4036,34,9.0,180,93955,2,6.5,3.0,0,1.0,0.0,1.0,1.0,0.0
1098,50,24.0,188,92007,3,1.3,1.0,184,1.0,0.0,0.0,0.0,1.0
465,43,19.0,83,94305,4,3.6,3.0,0,1.0,0.0,0.0,0.0,1.0
4155,51,25.0,163,94305,2,1.3,3.0,0,1.0,0.0,0.0,1.0,0.0
1373,39,13.0,139,95616,3,3.4,1.0,483,1.0,0.0,0.0,1.0,0.0
2587,47,23.0,149,92675,4,6.1,1.0,0,1.0,0.0,0.0,0.0,1.0
3615,34,10.0,154,94583,3,5.4,2.0,0,1.0,0.0,0.0,1.0,0.0
1039,56,30.0,145,95831,4,5.7,2.0,0,1.0,0.0,1.0,1.0,1.0
3271,50,23.0,179,94609,4,3.6,2.0,0,1.0,0.0,0.0,1.0,0.0
