,class,a1,a2,a3,a4,a5,a6,Id
0,1,1,1,1,1,3,1,data_5
1,1,1,1,1,1,3,2,data_6
2,1,1,1,1,3,2,1,data_19
3,1,1,1,1,3,3,2,data_22
4,1,1,1,2,1,2,1,data_27
5,1,1,1,2,1,2,2,data_28
6,1,1,1,2,2,3,1,data_37
7,1,1,1,2,2,4,1,data_39
8,1,1,1,2,3,1,2,data_42
9,1,1,2,1,1,1,2,data_50
11,0,1,2,1,1,3,1,data_53
12,0,1,2,1,1,4,2,data_56
13,1,1,2,1,2,1,1,data_57
14,0,1,2,1,2,3,1,data_61
15,0,1,2,1,2,3,2,data_62
16,0,1,2,1,2,4,2,data_64
17,0,1,2,1,3,2,1,data_67
18,0,1,2,1,3,4,2,data_72
19,0,1,2,2,1,2,2,data_76
20,0,1,2,2,2,3,2,data_86
22,0,1,2,2,2,4,2,data_88
23,0,1,2,2,3,2,2,data_92
25,0,1,2,2,3,3,2,data_94
26,0,1,3,1,1,2,1,data_99
27,0,1,3,1,1,4,1,data_103
28,0,1,3,1,2,2,1,data_107
29,0,1,3,1,2,4,1,data_111
30,1,1,3,1,3,1,2,data_114
31,0,1,3,1,3,2,2,data_116
32,0,1,3,1,3,3,1,data_117
33,0,1,3,1,3,4,1,data_119
34,0,1,3,1,3,4,2,data_120
36,1,1,3,2,2,1,2,data_130
37,0,1,3,2,2,2,2,data_132
39,0,1,3,2,2,4,1,data_135
40,0,1,3,2,2,4,2,data_136
41,1,1,3,2,3,1,1,data_137
42,0,1,3,2,3,2,1,data_139
43,0,1,3,2,3,4,1,data_143
45,0,2,1,1,1,3,1,data_149
46,0,2,1,1,1,3,2,data_150
47,1,2,1,1,2,1,1,data_153
49,0,2,1,1,2,2,2,data_156
50,0,2,1,1,2,3,1,data_157
51,0,2,1,1,2,4,1,data_159
52,0,2,1,1,2,4,2,data_160
53,0,2,1,1,3,4,1,data_167
54,0,2,1,2,1,2,2,data_172
56,0,2,1,2,1,4,2,data_176
57,0,2,1,2,2,3,1,data_181
58,0,2,1,2,2,4,2,data_184
59,0,2,1,2,3,2,2,data_188
60,0,2,1,2,3,4,1,data_191
61,1,2,2,1,1,2,1,data_195
63,1,2,2,1,1,3,1,data_197
64,1,2,2,1,2,3,2,data_206
65,1,2,2,1,3,1,1,data_209
66,1,2,2,1,3,1,2,data_210
67,1,2,2,1,3,2,2,data_212
68,1,2,2,1,3,3,2,data_214
69,1,2,2,1,3,4,2,data_216
71,1,2,2,2,1,3,2,data_222
73,1,2,2,2,1,4,2,data_224
74,1,2,2,2,2,2,1,data_227
75,1,2,2,2,3,4,1,data_239
76,1,2,3,1,1,1,1,data_241
77,1,2,3,1,2,1,1,data_249
78,0,2,3,1,2,3,1,data_253
79,1,2,3,1,3,1,2,data_258
80,0,2,3,1,3,3,1,data_261
81,0,2,3,1,3,4,2,data_264
82,0,2,3,2,1,3,2,data_270
83,1,2,3,2,2,1,1,data_273
84,1,2,3,2,2,1,2,data_274
85,0,2,3,2,2,2,1,data_275
86,0,2,3,2,3,3,2,data_286
87,1,3,1,1,1,1,1,data_289
88,1,3,1,1,1,1,2,data_290
89,1,3,1,1,2,1,1,data_297
90,0,3,1,1,2,2,2,data_300
91,0,3,1,1,3,2,2,data_308
92,1,3,1,2,1,1,1,data_313
93,0,3,1,2,1,2,2,data_316
94,0,3,1,2,2,2,2,data_324
95,0,3,1,2,2,3,2,data_326
96,0,3,1,2,3,2,2,data_332
97,1,3,2,1,1,1,1,data_337
98,0,3,2,1,1,4,2,data_344
99,1,3,2,1,2,1,2,data_346
101,1,3,2,2,1,1,1,data_361
102,1,3,2,2,1,1,2,data_362
103,0,3,2,2,1,3,2,data_366
104,1,3,2,2,3,1,1,data_377
106,0,3,2,2,3,4,1,data_383
108,1,3,3,1,1,2,1,data_387
109,1,3,3,1,1,4,2,data_392
110,1,3,3,1,2,3,2,data_398
111,1,3,3,1,2,4,2,data_400
112,1,3,3,1,3,1,2,data_402
113,1,3,3,1,3,2,1,data_403
114,1,3,3,1,3,2,2,data_404
117,1,3,3,2,1,3,2,data_414
118,1,3,3,2,1,4,1,data_415
121,1,3,3,2,3,2,2,data_428
122,1,3,3,2,3,3,2,data_430
123,1,3,3,2,3,4,2,data_432
