GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
322,110,5,4.5,4.0,8.97,0,0.78
307,107,2,3.0,3.5,8.52,1,0.78
317,110,3,4.0,4.5,9.11,1,0.8
332,118,2,4.5,3.5,9.36,1,0.9
312,98,1,3.5,3.0,8.18,1,0.64
331,112,5,4.0,5.0,9.8,1,0.94
306,106,2,2.0,2.5,8.14,0,0.61
318,109,3,3.0,3.0,8.5,0,0.67
315,105,2,2.0,2.5,7.65,0,0.39
322,109,5,4.5,3.5,8.8,0,0.76
312,104,3,3.5,4.0,8.09,0,0.71
299,106,2,4.0,4.0,8.4,0,0.64
310,103,2,2.5,2.5,8.24,0,0.72
330,116,4,4.0,3.5,9.23,1,0.91
311,104,2,2.5,3.5,8.48,0,0.71
327,111,4,3.0,4.0,8.4,1,0.78
327,118,4,5.0,5.0,9.67,1,0.93
324,110,4,4.5,4.0,9.15,1,0.82
314,108,4,4.5,4.0,9.04,1,0.84
298,105,3,3.5,4.0,8.54,0,0.69
331,116,5,4.0,4.0,9.26,1,0.93
336,119,5,4.0,3.5,9.8,1,0.97
326,116,2,4.5,3.0,9.08,1,0.8
319,105,4,4.0,4.5,8.66,1,0.77
299,97,3,5.0,3.5,7.66,0,0.38
298,99,2,4.0,2.0,7.6,0,0.46
299,100,3,2.0,3.0,7.42,0,0.42
320,103,3,3.0,3.0,7.7,0,0.64
308,103,2,2.5,4.0,8.36,1,0.7
316,105,2,2.5,2.5,8.2,1,0.49
303,98,1,2.0,2.5,7.65,0,0.56
325,110,4,3.5,4.0,8.67,1,0.73
325,114,3,3.5,3.0,9.04,1,0.76
297,96,2,2.5,1.5,7.89,0,0.43
305,96,4,3.0,4.5,8.26,0,0.54
322,107,3,3.5,3.5,8.46,1,0.71
325,114,5,4.0,5.0,9.46,1,0.91
322,114,5,4.5,4.0,8.94,1,0.86
317,104,2,3.0,3.0,8.76,0,0.77
320,112,4,3.0,4.5,8.86,1,0.82
311,101,3,2.0,2.5,7.64,1,0.62
323,107,3,3.5,3.5,8.55,1,0.73
323,113,3,4.0,4.0,8.88,1,0.79
300,100,3,3.0,3.5,8.26,0,0.62
308,110,3,3.5,3.0,8.0,1,0.46
295,93,1,2.0,2.0,7.2,0,0.46
323,110,4,4.0,5.0,8.88,1,0.81
327,113,4,3.5,3.0,8.69,1,0.8
324,110,3,3.5,3.5,9.04,1,0.82
322,110,3,4.0,5.0,8.64,1,0.85
317,107,2,3.5,3.0,8.28,0,0.66
324,111,3,2.5,2.0,8.8,1,0.79
313,104,3,4.0,4.5,8.65,0,0.73
316,110,3,3.5,4.0,8.56,0,0.75
298,97,2,2.0,3.0,7.21,0,0.45
323,113,3,4.0,3.0,9.32,1,0.85
316,102,2,4.0,3.5,8.15,0,0.67
332,118,5,5.0,5.0,9.47,1,0.94
301,102,3,2.5,2.0,8.13,1,0.68
314,107,3,3.0,3.5,8.17,1,0.73
312,105,2,1.5,3.0,8.46,0,0.66
314,102,4,2.5,2.0,7.88,1,0.59
295,99,1,2.0,1.5,7.57,0,0.37
321,111,3,2.5,3.0,8.9,1,0.8
327,113,3,3.5,3.0,8.66,1,0.8
304,101,2,2.0,2.5,7.66,0,0.38
298,92,1,2.0,2.0,7.88,0,0.51
314,107,2,2.5,4.0,8.56,0,0.63
325,111,3,3.0,3.5,8.7,0,0.52
324,112,4,4.0,3.5,8.77,1,0.8
325,112,4,4.0,4.5,9.17,1,0.85
309,104,2,2.0,2.5,8.26,0,0.65
306,100,2,3.0,3.0,8.0,0,0.48
307,105,2,2.0,3.5,8.1,0,0.53
316,111,4,4.0,5.0,8.54,0,0.71
322,105,2,3.0,3.0,8.45,1,0.65
311,104,2,2.0,2.0,8.3,0,0.42
327,115,4,3.5,4.0,9.14,0,0.79
320,110,5,4.0,4.0,9.27,1,0.87
334,116,4,4.0,3.5,9.54,1,0.93
331,115,5,4.5,3.5,9.36,1,0.93
319,103,3,2.5,4.0,8.76,1,0.73
325,112,4,3.5,3.5,8.92,0,0.55
318,109,3,3.5,4.0,9.22,1,0.68
316,98,1,1.5,2.0,7.43,0,0.49
310,104,3,2.0,3.5,8.37,0,0.7
316,100,2,1.5,3.0,8.16,1,0.71
334,119,5,4.5,5.0,9.54,1,0.94
310,99,2,1.5,2.0,7.3,0,0.54
300,97,2,3.0,3.0,8.1,1,0.65
