GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
322,112,3,3.0,4.0,8.62,1,0.76
312,108,3,3.5,3.0,8.53,0,0.69
314,99,4,3.5,4.5,8.73,1,0.71
333,118,5,5.0,5.0,9.35,1,0.92
320,104,3,3.5,4.5,8.34,1,0.74
295,101,2,2.5,2.0,7.86,0,0.69
323,111,5,4.0,5.0,9.86,1,0.92
329,113,4,4.0,3.5,9.36,1,0.89
326,116,3,3.5,4.0,9.14,1,0.81
302,102,1,2.0,1.5,8.0,0,0.5
296,95,2,3.0,2.0,7.54,1,0.44
305,104,2,2.5,1.5,7.79,0,0.53
316,110,3,4.0,4.5,8.78,1,0.69
327,104,5,3.0,3.5,8.84,1,0.71
293,97,2,2.0,4.0,7.8,1,0.64
312,105,3,2.0,3.0,8.02,1,0.5
324,112,4,4.5,4.0,9.22,1,0.86
336,118,5,4.5,4.0,9.19,1,0.92
339,116,4,4.0,3.5,9.8,1,0.96
299,100,2,3.0,3.5,7.88,0,0.68
321,114,4,4.0,5.0,9.12,0,0.85
319,108,2,2.5,3.0,8.76,0,0.66
324,113,5,4.0,5.0,9.25,1,0.92
329,113,5,5.0,4.5,9.45,1,0.89
320,110,5,5.0,4.5,9.22,1,0.92
325,111,4,4.0,4.5,9.11,1,0.83
304,97,2,1.5,2.0,7.64,0,0.47
298,98,2,4.0,3.0,8.03,0,0.34
327,114,3,3.0,3.0,9.02,0,0.61
299,96,2,1.5,2.0,7.86,0,0.54
312,103,4,4.0,5.0,8.43,0,0.73
340,115,5,4.5,4.5,9.45,1,0.94
327,109,3,3.5,4.0,8.77,1,0.79
290,100,1,1.5,2.0,7.56,0,0.47
310,107,3,3.5,3.5,8.67,0,0.76
319,112,3,2.5,2.0,8.71,1,0.78
306,103,2,2.5,3.0,8.36,0,0.69
326,110,3,3.5,3.5,8.76,1,0.79
338,115,5,4.5,5.0,9.23,1,0.91
305,108,5,3.0,3.0,8.48,0,0.61
321,110,3,3.5,5.0,8.85,1,0.82
314,109,4,3.5,4.0,8.77,1,0.82
305,105,2,3.0,2.0,8.23,0,0.67
306,103,3,3.5,3.0,8.21,0,0.64
298,98,2,1.5,2.5,7.5,1,0.44
327,108,5,5.0,3.5,9.13,1,0.87
318,107,3,3.0,3.5,8.27,1,0.74
315,104,3,3.0,2.5,8.33,0,0.67
319,110,3,3.5,3.5,9.04,0,0.82
322,103,4,3.0,2.5,8.02,1,0.61
313,94,2,2.5,1.5,8.13,0,0.56
313,107,3,4.0,4.5,8.69,0,0.72
333,117,4,5.0,4.0,9.66,1,0.95
334,114,4,4.0,4.0,9.43,1,0.93
320,104,3,3.0,2.5,8.57,1,0.74
340,112,4,5.0,4.5,9.66,1,0.94
314,107,2,2.5,4.0,8.27,0,0.72
317,106,3,3.5,3.0,7.89,1,0.73
332,117,4,4.5,4.0,9.1,0,0.87
299,94,1,1.0,1.0,7.34,0,0.42
300,102,3,3.5,2.5,8.17,0,0.63
324,105,3,3.0,4.0,8.75,0,0.79
314,103,2,2.0,3.0,8.21,0,0.65
307,108,2,4.0,3.5,7.7,0,0.48
317,103,3,2.5,3.0,8.54,1,0.73
311,106,2,3.5,3.0,8.26,1,0.79
311,103,3,2.0,4.0,8.09,0,0.64
324,113,4,4.5,4.5,9.25,1,0.89
316,106,2,2.5,4.0,8.32,0,0.72
321,112,5,5.0,5.0,9.06,1,0.86
311,99,2,2.5,3.0,7.98,0,0.65
325,107,3,3.0,3.5,9.11,1,0.84
308,105,4,3.0,2.5,7.95,1,0.67
312,110,2,3.5,3.0,8.53,0,0.64
321,111,3,3.5,4.0,8.83,1,0.77
299,100,2,2.0,2.0,7.88,0,0.51
307,109,3,4.0,3.0,8.0,1,0.62
326,112,3,3.5,3.0,9.05,1,0.74
302,101,2,2.5,3.5,7.96,0,0.46
308,106,3,3.0,3.0,8.24,0,0.58
330,114,3,4.5,4.5,9.24,1,0.9
338,118,4,3.0,4.5,9.4,1,0.91
316,102,3,2.0,3.0,7.4,0,0.64
299,100,3,2.0,2.0,8.02,0,0.63
322,110,5,5.0,4.0,9.1,1,0.88
309,108,3,2.5,3.0,8.12,0,0.72
321,109,4,4.0,4.0,9.13,1,0.85
300,102,2,1.5,2.0,7.87,0,0.56
318,106,2,4.0,4.0,7.92,1,0.64
311,104,3,3.5,2.0,8.2,1,0.61
314,105,2,2.5,2.0,7.64,0,0.7
310,105,2,3.0,3.5,8.01,0,0.71
316,103,3,3.5,2.0,7.68,0,0.52
324,110,4,3.0,3.5,8.97,1,0.84
321,109,3,3.0,3.0,8.54,1,0.79
334,120,5,4.0,5.0,9.87,1,0.97
334,116,4,4.0,3.0,8.0,1,0.78
329,114,2,2.0,4.0,8.56,1,0.72
330,114,4,4.5,3.0,9.17,1,0.86
326,112,3,3.5,3.0,9.1,1,0.84
301,99,2,3.0,2.0,8.22,0,0.64
321,109,3,3.0,4.0,8.2,1,0.75
340,115,5,5.0,4.5,9.06,1,0.95
340,120,4,4.5,4.0,9.92,1,0.97
307,101,3,4.0,3.0,8.2,0,0.47
305,102,2,2.0,2.5,8.18,0,0.62
332,112,1,1.5,3.0,8.66,1,0.79
315,105,2,3.0,3.0,8.34,0,0.66
339,119,5,4.5,4.0,9.7,0,0.89
330,120,5,4.5,5.0,9.56,1,0.93
313,107,2,2.5,2.0,8.5,1,0.53
301,100,3,3.5,3.0,8.04,0,0.67
302,110,3,4.0,4.5,8.5,0,0.65
333,113,5,4.0,4.0,9.28,1,0.89
314,106,3,3.0,5.0,8.9,0,0.74
324,112,5,5.0,5.0,9.08,1,0.88
321,111,5,5.0,5.0,9.45,1,0.93
316,105,3,3.0,3.5,8.73,0,0.72
327,111,4,4.0,4.5,9.0,1,0.84
324,111,4,3.0,3.0,9.01,1,0.82
290,104,4,2.0,2.5,7.46,0,0.45
